name,files,mentions
ramain,3,3
rig-veda,3,3
sadgranths,3,3
sari,3,3
shankaracharya,3,3
shrimad bhagavad gita,3,3
sufi poetry,3,3
surah,3,3
suras,3,3
tulsi das,3,3
vedavyasa,3,3
yoga-sutra,3,3
शास्त्र,3,3
sri chaitanya charitamrita,2,9
meditation,2,3
nanak,2,3
shukdev,2,3
akhand path,2,2
anjial,2,2
ashtavakra gita,2,2
ayurveda,2,2
bhagavad,2,2
bhagavad-katha,2,2
bhagavat katha,2,2
bhakti ras,2,2
biblical,2,2
biblical stories,2,2
brahman,2,2
brahma-vidya,2,2
buddhist teachings,2,2
chaitanya-charitamrita,2,2
chandogya upanishad,2,2
gayatri mantra,2,2
gurmant,2,2
gurubani,2,2
guru-gram,2,2
guru-granth,2,2
guru nanak,2,2
guru-shishya parampara,2,2
guruvachan,2,2
guruvai-namah,2,2
guruvam namah,2,2
guru vasishtha,2,2
guruv namah,2,2
hansvahini,2,2
injil,2,2
japji sahib,2,2
jnana,2,2
karma yoga,2,2
kundalini,2,2
maha mantra,2,2
mahavira,2,2
mantras,2,2
markandeya purana,2,2
nam,2,2
om guru namah,2,2
om guruvay namah,2,2
patanjali yoga sutras,2,2
pranayama,2,2
puran,2,2
rama,2,2
ramaiana,2,2
ramakrishna paramahamsa,2,2
sadguru,2,2
sama,2,2
sanskrit texts,2,2
sashtra,2,2
sastra,2,2
shabari,2,2
shiva purana,2,2
shri f,2,2
shrimad-bhagavatam,2,2
sikh-sahib,2,2
smritis,2,2
sri guruve namah,2,2
srimad bhagavad gita,2,2
srimad-bhagavatam,2,2
sriprabhu,2,2
sri vidya,2,2
sufi kalam,2,2
sukhmani sahib,2,2
tamaso ma jyotir,2,2
ved puran,2,2
ved vyasa,2,2
vedya shastra,2,2
vivekananda,2,2
yoga,2,2
गीता,2,2
भगवद्गीता,2,2
guruvade nama,1,3
gautam buddha,1,2
gurmantar,1,2
niti shastra,1,2
om-guruvim-namah,1,2
adhyatma,1,1
adhyatmik kalam,1,1
advaita vedanta,1,1
aham brahmasmi,1,1
aiman,1,1
aitareya upanishad,1,1
ajeez,1,1
ajna chakra,1,1
akshara brahma,1,1
akshara brahman,1,1
akshara brahma namah,1,1
akshar brahman,1,1
akshar brahmanam,1,1
allopathy,1,1
ameen,1,1
ameen gurave namah,1,1
amin,1,1
amrit katha,1,1
amritvani,1,1
anahad,1,1
anahad nada,1,1
anahad namah,1,1
anahata-nada,1,1
anahat-nada,1,1
anahat nada namah,1,1
anand sahib,1,1
anchil sara,1,1
angeel,1,1
angel quran,1,1
anjiil,1,1
anjin,1,1
ankara guruve namah,1,1
ankar-guruve-namah,1,1
ankhand path,1,1
ardas,1,1
arfe-muhabbat-yar,1,1
arjuna ya nishas sarvabhutanam tasyam jagarti,1,1
asana,1,1
ashtang sutra,1,1
ashtottara shatnamam,1,1
astanga yoga,1,1
astanga-yoga,1,1
astavakra-gita,1,1
astavakya,1,1
astoma sadgamyam,1,1
astoma sadigamme,1,1
astotram,1,1
astu ma sadgamme tamaso ma jotirgamme mrutyor ma amritamgamme,1,1
astu ma sadgamy,1,1
astu ma sadgamyam,1,1
astu ma sadgamy tamaso ma jotirgamy,1,1
astu ma sadgumme tamaso ma jyotirgamme mrutyor ma amritangamme,1,1
asura,1,1
atma,1,1
atma gyan,1,1
atma-vidya,1,1
aum,1,1
avatara guru,1,1
ayat,1,1
badal,1,1
baibel,1,1
bali,1,1
bhagat geet,1,1
bhagat-ka-bhajan,1,1
bhagat kabir,1,1
bhagat kabir ki bani,1,1
bhagat kabir ki joopdi,1,1
bhagat ki bani,1,1
bhagavad gita 14.26,1,1
bhagavad-gita-chapter-10,1,1
bhagavad katha,1,1
bhagavad mahapurana,1,1
bhagavad-maha-purana,1,1
bhagavata katha,1,1
bhagavata-katha,1,1
bhagavat-katha,1,1
bhagavat mahapurana,1,1
bhagwan krishna,1,1
bhagwan ram,1,1
bhagwat,1,1
bhagwati,1,1
bhakti-bhavana,1,1
bhakti-marga,1,1
bhakti movement,1,1
bhakti rasamrita kaudumbam,1,1
bhakti rasikamrita,1,1
bhakti rasikamrita sindhu,1,1
bhakti sahitya,1,1
bhakti-sandarbha,1,1
bhakti sutras,1,1
bhakti tradition,1,1
bhakti-vedanta,1,1
bhakti yoga,1,1
bharat,1,1
binu sat sang,1,1
brahma-anandam-stotra,1,1
brahma-ananda-stotra,1,1
brahma gita,1,1
brahma granth,1,1
brahma gyan,1,1
brahma-gyan,1,1
brahmananda,1,1
brahma-ninda,1,1
brahma purana,1,1
brahma sutra,1,1
brahma vidya,1,1
brahm-vidya,1,1
brihadaranyaka upanishad,1,1
brihadaranyaka-upanishad,1,1
buddha's story,1,1
buddha-sutra,1,1
buddhism,1,1
bulle shah,1,1
chaitanya charitamrita,1,1
chaitanya mahaprabhu,1,1
chandi di var,1,1
christianity,1,1
church,1,1
darsan,1,1
dasam granth,1,1
dasam-granth,1,1
dasham dvara namah,1,1
dehna,1,1
dhanan,1,1
dharma granth,1,1
dharma grantha,1,1
dharma sastras,1,1
dharma shastra,1,1
dharmashastra,1,1
dharm-granth,1,1
dharm raja,1,1
dhoondhta firta kanha hai,1,1
dil-gana,1,1
divani,1,1
dvaita,1,1
dvapar yuga,1,1
falit,1,1
gang,1,1
ganga,1,1
gangaotri,1,1
gangotri,1,1
garibi,1,1
gayatri,1,1
gita govinda,1,1
gorakhnath,1,1
gospel,1,1
gospel of jesus christ,1,1
grama,1,1
granth-sahib,1,1
granth shastra,1,1
grianth,1,1
gun gobind gayo nahin,1,1
guni gobind gayo,1,1
gurank dev,1,1
gurank devji,1,1
guravar namo namah,1,1
gurave namah,1,1
gurbaani,1,1
gur-bilas,1,1
gur nanak,1,1
guror brahma guru vishnuh guru devo maheshwarah,1,1
guru-bhakti,1,1
guru brahma,1,1
guru brahma guru vishnu guru saakshat maheshwar,1,1
guru-dwar,1,1
guru gans,1,1
gurugant,1,1
guru-gorakshanath,1,1
gurugrahamsa,1,1
gurugram,1,1
gurugram saheb,1,1
gurugransa,1,1
gurugranth sahab,1,1
gurugranth sahb,1,1
guruguru,1,1
guru guru sahab,1,1
guruguru sansahab,1,1
guru-gyan sahab,1,1
guru mantra,1,1
guru-nama,1,1
gurunanak,1,1
guru nanak dev ji ki vani,1,1
gurupad priiti,1,1
guru-prem,1,1
guru ramanand,1,1
gurur brahma gurur vishnu,1,1
guru sahab,1,1
guru sakshat,1,1
gurushish,1,1
guru-stuti,1,1
guru teachings,1,1
guru-vaah,1,1
guru vai namah,1,1
guruvai namah omkara,1,1
guruvanam,1,1
guruvanamah,1,1
guru vani,1,1
guru vashishtha,1,1
guru-vasishtam,1,1
guru-vasishtha,1,1
guruvayur,1,1
guru-ved,1,1
guru-vedam,1,1
guru-vidhi,1,1
guru vishnu,1,1
guruvе namaha,1,1
gur vasishtha,1,1
guthi,1,1
hanuman,1,1
hanuman chalisa,1,1
hare krishna,1,1
haridas granth,1,1
hari ji mere man ko,1,1
hari-nama,1,1
hatha yoga,1,1
hindu scriptures,1,1
homopathy,1,1
immortal song,1,1
isha upanishad,1,1
jaap sahib,1,1
jainism,1,1
jain texts,1,1
janak,1,1
jap-yog-samadhi,1,1
jataka katha,1,1
jatakas,1,1
jesus christ,1,1
jnana yoga,1,1
jo ne kabe,1,1
kabiir,1,1
kabir saheb ka doha,1,1
kabir sahib,1,1
kabir's verses,1,1
kapil,1,1
katha,1,1
katha sarit sagara,1,1
katyayani,1,1
kaushitaki upanishad,1,1
kena upanishad,1,1
kiraagat,1,1
kirtan sohila,1,1
kirtar,1,1
kitab,1,1
kranti,1,1
kriya yoga,1,1
laya yoga,1,1
life-temple,1,1
lohdii-purnah,1,1
lohit-parva,1,1
mahaabharata,1,1
mahanirvana tantra,1,1
mahashakti,1,1
mahashivratri,1,1
mahatma buddha,1,1
mahavira's story,1,1
mahavir jain,1,1
mahavir teachings,1,1
maheshwar,1,1
maitri upanishad,1,1
mandir,1,1
mandukya upanishad,1,1
mantra yoga,1,1
manusmriti,1,1
marka-darshan,1,1
markandeya-purana,1,1
martyor ma amritam,1,1
martyor ma amritam gamya,1,1
martyor ma amritamgamya,1,1
martyor ma amritgamya,1,1
masjid,1,1
mattang,1,1
maya,1,1
maya ka ghulam banda,1,1
mero man vairagi,1,1
mira,1,1
moksha,1,1
muhammad,1,1
muktodbhava stotra,1,1
mundaka upanishad,1,1
naanak,1,1
nachiketa-agni,1,1
nad-bhakti-sutra,1,1
nama,1,1
namayan,1,1
namokara guruve namah,1,1
namo-nabha-hari,1,1
nam-simaran,1,1
nanak's verses,1,1
navaratri,1,1
nisha sarvabhutanam tasyam jagarti sayam,1,1
nisha sarvabhutanam tasyam jagattisayami,1,1
niyama,1,1
om anihati namah,1,1
om ankar,1,1
om ankara guruvai namah,1,1
om ankara namah,1,1
om-ankar-guruvim-namah,1,1
om ankar ramain amen,1,1
om brahmave namah,1,1
om gurave namah,1,1
om-gurue-nam,1,1
om guru guruva namah,1,1
om guru purnima namah,1,1
om gurupurnima namah,1,1
om guru vai namah,1,1
om-guruvai-namah,1,1
om guruve nama,1,1
omguruvi nama,1,1
om-guruv-nam,1,1
omkara guruve namah,1,1
omkara-guruve-namah,1,1
omkara namah,1,1
omkar gurave namah,1,1
om kar guruve namah,1,1
om krishna namah,1,1
om-krishna-namah,1,1
om kurava namah,1,1
om namah shivay,1,1
om omkar,1,1
om omkara guruve namah,1,1
om-par-guruv-nam,1,1
om prabhuvate namah,1,1
om shanavatu,1,1
om shri guruve namah,1,1
om tat sat guruve namah,1,1
opanisad,1,1
padma purana,1,1
panchajanya,1,1
parishat,1,1
patanjali-yoga-sutra,1,1
peep,1,1
prabhasa,1,1
prahlad-ji,1,1
pranava,1,1
prapannam,1,1
prarthana,1,1
prashna upanishad,1,1
purushottama gita,1,1
quranic verses,1,1
quran sarif,1,1
raas,1,1
raas-leela,1,1
rahaniyat kalam,1,1
raidas,1,1
raja bharthari,1,1
raja janak,1,1
raja janaka,1,1
raja yoga,1,1
ramakrishna mission,1,1
ramana,1,1
ramayanam,1,1
ram bajshani,1,1
ram bhaskar,1,1
ram charit manas,1,1
ram-charit-manas,1,1
ramkatha,1,1
ram-kripa,1,1
ram leela,1,1
ram-nama,1,1
ram raja,1,1
ravidas,1,1
rig veda 1.164.40,1,1
rig veda 9.9.5,1,1
rupunisht,1,1
saddaguru,1,1
sad-granth,1,1
sad granthas,1,1
sadhana,1,1
sadhana texts,1,1
sagar,1,1
sahaj,1,1
sahasra namah,1,1
sahbazil,1,1
sahib,1,1
sahib granth,1,1
sahif,1,1
samrati dwara,1,1
samsara,1,1
sanatana-dharma,1,1
sankara,1,1
sankaracharya,1,1
sannata,1,1
sanskrit,1,1
sanskrit literature,1,1
sanskrits,1,1
sanskrit-shastras,1,1
sara,1,1
saraswat gita,1,1
saraswati sutras,1,1
sarif,1,1
sarip,1,1
sarvadharmaan paritijya mamakam saranam vraja,1,1
sarvadharmam paritijya mamikam saranam vraja,1,1
sarva-dharmān parityajya,1,1
sarvadharma parityajya mamikam saranam vraja,1,1
sarva dharma shastra,1,1
satya naam,1,1
satyuga,1,1
scripture,1,1
scriptures,1,1
seva,1,1
shaast,1,1
shaastar,1,1
shabad,1,1
shaivism,1,1
shaktism,1,1
shamadama,1,1
shankaracharya teachings,1,1
shans,1,1
shariah,1,1
sharif,1,1
sharir,1,1
shiva-dhyana,1,1
shiva ganga,1,1
shiva-ganga,1,1
shiva sutras,1,1
shiva tattva,1,1
shiva-temple,1,1
shiv-ganga,1,1
shivneta,1,1
shlokas,1,1
shri bhagavad gita,1,1
shri bible,1,1
shri duniya,1,1
shriek,1,1
shri fath,1,1
shri gurave namah,1,1
shri guru granth sahib,1,1
shri-guru-granth-sahib,1,1
shri guru purnima manama,1,1
shri guruvai namah,1,1
shri-guruve-namah,1,1
shriiif,1,1
shrimad-bhagavad-gita,1,1
shripancham,1,1
shri puri,1,1
shruti,1,1
sikh-shabad,1,1
sira,1,1
sirat,1,1
sirdar-raag,1,1
siri,1,1
siri shap,1,1
skanda purana,1,1
smriti,1,1
soham sakti,1,1
sola glassam puran,1,1
solasatram,1,1
soyam-shastra,1,1
soyam-terat,1,1
sri aurobindo,1,1
sri-chandogya-upanishad,1,1
sri-guru-granth-sahib,1,1
srip,1,1
sri ramayana,1,1
sri ram charit manas,1,1
sruti,1,1
sufi,1,1
sufi literature,1,1
sufi qalam,1,1
sura,1,1
surya,1,1
surya-suktam,1,1
sutra,1,1
tadvadhwam pranipti pariprasanam sevaya upadekshyate jnanam,1,1
tadviddhi,1,1
tad-viddhi-pranipatam,1,1
tadviddhi-pranipatena pariprasnena sevaya,1,1
tadviddhi pranipati,1,1
tadviddhi-pranipatin,1,1
tadviddhi pranipatini pariprasnina sivayam abhidesantam jnanam,1,1
tadviddhi pranipatin pariprashnin sevaya upadesha taiti jnanam jnaninastva darshina,1,1
tadvidhi prapannam,1,1
tadvithi pranipatini pariprasanini,1,1
taito-sadbhale,1,1
taittiriya upanishad,1,1
tamaso ma joti,1,1
tamaso ma jyate,1,1
tamaso ma jyotirgamaya,1,1
tamaso ma jyotir gamya,1,1
tamaso ma jyotir ganga,1,1
tamaso ma jyotir gayatri,1,1
tap,1,1
tattva bodha,1,1
tattva-viveka,1,1
tattvibhi prapipati,1,1
tatva-ka,1,1
tatvidhi pranipatitam pariprasaninam savayam,1,1
tav prasad sahib,1,1
tirath,1,1
tirthasthal,1,1
trigunya,1,1
tulsidas,1,1
tulsidas ka kavya,1,1
upadikshitam tann jnanam,1,1
upanisad,1,1
upaniṣṭ,1,1
vaheguru,1,1
vairagya sahitya,1,1
vaishnavism,1,1
vallabha,1,1
vallabhacharya,1,1
vasana,1,1
vedam,1,1
vedanta sara,1,1
veda-sarva-bhuta-nam,1,1
vedavyaas,1,1
vedic dharma samaj,1,1
vedic-mantra,1,1
vedic-stories,1,1
ved-path,1,1
vedra,1,1
vedra ka pustak,1,1
vedra ka sastra,1,1
vedra ka ved,1,1
veds,1,1
vedu,1,1
vibh,1,1
vibhl,1,1
vibhul,1,1
vibrations,1,1
vijnana,1,1
viraat,1,1
virat,1,1
virat-karika,1,1
vishishtadvaita,1,1
vishnu purana,1,1
vyasa,1,1
yajur veda,1,1
yama,1,1
yama-niyama-asana-pranayama,1,1
yamniyam,1,1
yamuna,1,1
yoga-sutras,1,1
yoga vasistha,1,1
अवतार,1,1
उपनिषद,1,1
कुर्वान,1,1
कृतियां,1,1
पतंजल,1,1
ब्रह्म ज्ञान,1,1
ब्रह्मरिषि,1,1
रामायण,1,1
वेद,1,1
वेद (vedas),1,1
शास्त्र (shastras),1,1
श्रीमद्भगवद्गीता,1,1
संत,1,1
सद्गुरु,1,1
